team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Udinese Calcio,Udinese,2024/2025,Italy,12,6,6,0,5,4,1,1,0,1,6,2,4,1.33,2,0.67,9,7,17,9,15,18,-3,33,14,19,8,7,6,12,2,-5,72,68,77,60,90,45,3,3,0,6,2,4,3,1,2,6,4,2,59,32,27,33,14,19,45,46,44,116,50,66,55,25,30,61,25,36,166,81,85,7,4,3,9,4,5,-2,0,-2,5,3,2,2,1,1,5,2,3,1.42,1.67,1.17,2.75,2.33,3.17,1.25,1.33,1.17,1.5,1,2,1.33,1.33,1.33,0.58,0.67,0.5,0.75,0.67,0.83,12,9,6,3,3,0,6,4,2,1,1,0,6,5,4,2,2,0,0,3,6,9,9,12,0,2,4,5,5,6,0,1,2,4,4,6,100,75,50,25,25,0,100,67,33,17,17,0,100,83,67,33,33,0,0,25,50,75,75,100,0,33,67,83,83,100,0,17,33,67,67,100,10,4,2,5,2,1,5,2,1,83,33,17,83,33,17,83,33,17,42,67,17,20,25,50,0,50,33,67,25,17,33,50,67,33,6,4,2,50,67,33,6,2,4,50,33,67,2,1,1,17,17,17,42,50,33,17,17,17,42,33,50,4.92,5.33,4.50,2.75,2.33,3.17,75,75,67,57,42,33,25,17,1.22,1.11,1.33,1.44,1.36,1.51,58,1,1,1,2,4,0,2,3,1,2,3,0,1,5,4,1,0,2,8,0,17,50,33,67,8
Bologna FC 1909,Bologna,2024/2025,Italy,11,5,6,1,4,1,3,6,4,2,1,0,1,1.64,1.4,1.83,8,12,5,8,15,13,2,28,7,21,4,11,3,10,1,1,66,113,49,76,150,54,3,2,1,7,3,4,2,1,1,8,4,4,61,39,22,18,8,10,59,62,57,116,60,56,60,24,36,56,36,20,168,72,96,5,1,4,4,1,3,1,0,1,3,0,3,6,5,1,2,0,2,1.36,1,1.67,2.55,1.4,3.5,1.36,0.8,1.83,1.18,0.6,1.67,0.82,0.4,1.17,0.45,0.2,0.67,0.36,0.2,0.5,10,9,5,3,1,0,4,3,0,0,0,0,6,6,5,3,1,0,1,2,6,8,10,11,1,2,5,5,5,5,0,0,1,3,5,6,91,82,45,27,9,0,80,60,0,0,0,0,100,100,83,50,17,0,9,18,55,73,91,100,20,40,100,100,100,100,0,0,17,50,83,100,7,2,0,1,1,0,6,1,0,64,18,0,20,20,0,100,17,0,36,20,50,4,27,40,17,64,60,67,18,20,17,73,80,67,7,4,3,64,80,50,6,4,2,55,80,33,2,1,1,18,20,17,27,0,50,55,100,17,18,0,33,5.55,7.80,3.67,1.64,1.6,1.67,91,73,64,45,36,27,18,18,1.39,1.52,1.28,1.11,1.06,1.16,36,1,0,2,2,1,3,1,3,2,2,0,0,0,2,1,2,2,4,55,80,33,9,0,17,9
FC Internazionale Milano,Inter Milan,2024/2025,Italy,12,7,5,0,7,4,3,4,2,2,1,1,0,2.08,2,2.2,4,5,3,4,26,14,12,40,25,15,16,10,9,5,7,5,41,39,45,77,70,90,5,3,2,7,4,3,0,0,0,8,5,3,81,59,22,18,10,8,59,57,62,147,82,65,76,43,33,71,39,32,139,72,67,13,10,3,7,5,2,6,5,1,5,4,1,7,3,4,0,0,0,1.83,2.14,1.4,3.33,3.57,3,2.17,2.29,2,1.17,1.29,1,1.67,2.14,1,1.08,1.43,0.6,0.58,0.71,0.4,12,10,7,5,3,1,7,6,4,3,2,1,5,4,3,2,1,0,0,2,5,7,9,11,0,1,3,4,5,6,0,1,2,3,4,5,100,83,58,42,25,8,100,86,57,43,29,14,100,80,60,40,20,0,0,17,42,58,75,92,0,14,43,57,71,86,0,20,40,60,80,100,8,7,3,6,5,2,2,2,1,67,58,25,86,71,29,40,40,20,58,57,60,-2,42,43,40,58,57,60,0,0,0,67,71,60,6,3,3,50,43,60,4,1,3,33,14,60,6,4,2,50,57,40,42,57,20,58,43,80,0,0,0,6.75,8.43,4.40,1.5,1.43,1.60,67,57,50,42,33,33,25,25,1.61,1.57,1.66,1.04,1.08,0.97,92,4,1,3,3,5,4,3,1,2,1,2,2,2,0,0,0,1,6,33,29,40,8,14,0,17
ACF Fiorentina,Fiorentina,2024/2025,Italy,12,6,6,0,7,4,3,4,2,2,1,0,1,2.08,2.33,1.83,3,4,2,3,25,10,15,35,20,15,14,11,6,4,8,7,43,39,49,108,90,134,5,1,4,7,5,2,2,1,1,7,3,4,56,31,25,25,11,14,54,52,56,140,82,58,80,45,35,60,37,23,129,58,71,12,6,6,9,5,4,3,1,2,4,2,2,4,2,2,4,2,2,1.33,1.33,1.33,2.92,3.33,2.5,2.08,2.33,1.83,0.83,1,0.67,1.75,1.83,1.67,1,1,1,0.75,0.83,0.67,10,8,7,5,3,2,5,5,5,3,1,1,5,3,2,2,2,1,2,4,5,7,9,10,1,1,1,3,5,5,1,3,4,4,4,5,83,67,58,42,25,17,83,83,83,50,17,17,83,50,33,33,33,17,17,33,42,58,75,83,17,17,17,50,83,83,17,50,67,67,67,83,9,5,4,5,3,2,4,2,2,75,42,33,83,50,33,67,33,33,58,67,50,-4,42,17,67,58,83,33,17,17,17,58,50,67,6,2,4,50,33,67,5,2,3,42,33,50,4,3,1,33,50,17,33,33,33,33,33,33,33,33,33,4.67,5.17,4.17,2.08,1.83,2.33,75,50,33,33,25,17,17,0,1.51,1.69,1.34,1.19,1.21,1.16,58,2,3,0,3,5,3,1,5,3,0,2,2,2,3,1,0,0,0,33,33,33,8,0,17,0
Hellas Verona FC,Hellas Verona,2024/2025,Italy,12,6,6,0,4,3,1,0,0,0,8,3,5,1,1.5,0.5,14,10,18,14,17,27,-10,44,22,22,10,7,12,15,-2,-8,63,54,77,40,45,36,2,1,1,7,3,4,3,2,1,3,2,1,51,34,17,42,21,21,39,41,38,92,53,39,42,23,19,50,30,20,169,67,102,7,4,3,16,7,9,-9,-3,-6,1,1,0,5,2,3,6,3,3,0.67,0.83,0.5,3.67,3.67,3.67,1.42,1.67,1.17,2.25,2,2.5,1.92,1.83,2,0.58,0.67,0.5,1.33,1.17,1.5,12,11,10,5,4,1,6,6,6,2,2,0,6,5,4,3,2,1,0,1,2,7,8,11,0,0,0,4,4,6,0,1,2,3,4,5,100,92,83,42,33,8,100,100,100,33,33,0,100,83,67,50,33,17,0,8,17,58,67,92,0,0,0,67,67,100,0,17,33,50,67,83,9,7,4,5,4,2,4,3,2,75,58,33,83,67,33,67,50,33,33,50,17,15,17,17,17,58,50,67,25,33,17,25,33,17,3,1,2,25,17,33,6,3,3,50,50,50,6,3,3,50,50,50,8,17,0,42,33,50,50,50,50,4.25,5.67,2.83,3.5,3.5,3.50,57,50,50,50,42,25,25,25,0.99,1.14,0.83,1.48,1.25,1.71,83,2,3,0,1,2,2,1,1,5,7,2,3,3,1,5,0,4,2,0,0,0,67,50,83,25
Parma Calcio 1913,Parma,2024/2025,Italy,12,6,6,0,2,1,1,6,2,4,4,3,1,1,0.83,1.17,13,17,10,13,16,18,-2,34,18,16,8,8,10,8,-2,0,68,68,68,60,54,68,1,0,1,10,5,5,2,1,1,6,3,3,67,29,38,26,14,12,47,50,43,127,67,60,60,27,33,67,40,27,118,59,59,9,4,5,6,2,4,3,2,1,5,3,2,4,1,3,3,2,1,1.58,1.67,1.5,2.83,3,2.67,1.33,1.33,1.33,1.5,1.67,1.33,1.25,1,1.5,0.75,0.67,0.83,0.5,0.33,0.67,11,10,7,4,2,0,6,5,3,2,2,0,5,5,4,2,0,0,1,2,5,8,10,12,0,1,3,4,4,6,1,1,2,4,6,6,92,83,58,33,17,0,100,83,50,33,33,0,83,83,67,33,0,0,8,17,42,67,83,100,0,17,50,67,67,100,17,17,33,67,100,100,10,4,1,5,1,0,5,3,1,83,33,8,83,17,0,83,50,17,17,17,17,-6,8,0,17,83,83,83,17,17,17,50,50,50,6,4,2,50,67,33,5,3,2,42,50,33,3,0,3,25,0,50,42,50,33,33,17,50,25,33,17,5.58,4.83,6.33,2.17,2.33,2.00,100,100,92,92,75,57,33,25,1.30,1.29,1.31,1.58,1.50,1.66,58,3,3,1,1,1,0,2,2,3,1,0,0,4,3,1,2,4,3,50,33,67,33,50,17,17
Calcio Como,Como,2024/2025,Italy,12,4,8,0,2,1,1,4,2,2,6,1,5,0.83,1.25,0.63,16,18,14,16,13,23,-10,36,17,19,7,6,10,13,-3,-7,83,51,120,47,36,55,0,0,0,8,4,4,4,0,4,3,2,1,52,23,29,23,7,16,55,57,55,133,48,85,64,24,40,69,24,45,149,55,94,5,3,2,9,3,6,-4,0,-4,3,2,1,4,1,3,5,1,4,1.08,1.75,0.75,3,4.25,2.38,1.08,1.75,0.75,1.92,2.5,1.63,1.17,1.5,1,0.42,0.75,0.25,0.75,0.75,0.75,12,9,6,5,3,1,4,4,3,3,2,1,8,5,3,2,1,0,0,3,6,7,9,11,0,0,1,1,2,3,0,3,5,6,7,8,100,75,50,42,25,8,100,100,75,75,50,25,100,63,38,25,13,0,0,25,50,58,75,92,0,0,25,25,50,75,0,37,62,75,87,100,10,4,0,4,2,0,6,2,0,83,33,0,100,50,0,75,25,0,17,25,13,16,0,0,0,67,100,50,33,0,50,25,50,13,5,2,3,42,50,38,7,1,6,58,25,75,2,1,1,17,25,13,25,50,13,33,25,38,42,25,50,4.33,5.75,3.63,1.92,1.75,2.00,75,67,50,42,25,8,8,0,1.40,1.50,1.35,1.26,1.25,1.27,83,1,1,0,0,4,5,0,1,1,1,2,2,1,4,2,0,3,8,33,50,25,50,25,63,0
Venezia FC,Venezia,2024/2025,Italy,12,5,7,0,2,2,0,2,0,2,8,3,5,0.67,1.2,0.29,20,14,19,20,11,21,-10,32,13,19,6,5,7,14,-1,-9,98,75,127,51,64,45,2,1,1,6,2,4,5,2,3,6,2,4,38,16,22,21,9,12,46,51,42,116,57,59,59,30,29,57,27,30,139,46,93,7,2,5,13,4,9,-6,-2,-4,1,0,1,7,3,4,4,2,2,0.83,0.6,1,2.67,2.6,2.71,0.92,1.2,0.71,1.75,1.4,2,1.67,1.2,2,0.58,0.4,0.71,1.08,0.8,1.29,11,9,7,4,1,0,5,4,2,1,1,0,6,5,5,3,0,0,1,3,5,8,11,12,0,1,3,4,4,5,1,2,2,4,7,7,92,75,58,33,8,0,100,80,40,20,20,0,86,71,71,43,0,0,8,25,42,67,92,100,0,20,60,80,80,100,14,29,29,57,100,100,8,6,4,3,2,1,5,4,3,67,50,33,60,40,20,71,57,43,17,40,0,25,17,20,14,50,40,57,42,40,43,50,40,57,5,2,3,42,40,43,6,3,3,50,60,43,5,2,3,42,40,43,8,0,14,58,60,57,33,40,29,3.17,3.20,3.14,1.75,1.8,1.71,92,57,50,33,25,25,8,8,1.22,1.48,1.03,1.53,1.30,1.70,75,3,1,0,1,2,1,1,0,2,3,4,4,0,3,0,2,1,4,17,0,29,67,60,71,8
US Lecce,Lecce,2024/2025,Italy,12,6,6,0,2,2,0,3,2,1,7,2,5,0.75,1.33,0.17,18,11,20,18,5,21,-16,26,18,8,5,0,13,8,-8,-8,214,108,0,51,41,68,3,2,1,2,2,0,8,2,6,3,3,0,48,22,26,24,12,12,43,46,39,139,75,64,58,29,29,81,46,35,131,61,70,2,2,0,10,6,4,-8,-4,-4,2,2,0,5,1,4,5,3,2,0.92,1.17,0.67,2.17,3,1.33,0.42,0.83,0,1.75,2.17,1.33,1,1.33,0.67,0.17,0.33,0,0.83,1,0.67,11,6,4,3,1,1,6,4,3,3,1,1,5,2,1,0,0,0,1,6,8,9,11,11,0,2,3,3,5,5,1,4,5,6,6,6,92,50,33,25,8,8,100,67,50,50,17,17,83,33,17,0,0,0,8,50,67,75,92,92,0,33,50,50,83,83,17,67,83,100,100,100,7,3,2,5,2,1,2,1,1,58,25,17,83,33,17,33,17,17,17,33,0,37,25,33,17,17,33,0,67,33,100,25,50,0,7,3,4,58,50,67,10,4,6,83,67,100,0,0,0,0,0,0,17,33,0,42,17,67,42,50,33,4.00,3.67,4.33,2,2,2.00,83,67,57,50,42,33,33,33,1.32,1.39,1.25,1.52,1.53,1.51,58,0,0,1,1,0,2,0,1,0,1,1,0,4,4,2,3,3,3,25,33,17,58,33,83,25
SS Monza 1912,Monza,2024/2025,Italy,12,7,5,0,1,0,1,5,3,2,6,4,2,0.67,0.43,1,19,20,13,19,10,15,-5,25,14,11,5,5,9,6,-4,-1,108,127,90,72,70,75,2,0,2,5,4,1,6,3,3,3,1,2,38,25,13,33,20,13,47,47,46,80,55,25,39,22,17,41,33,8,174,101,73,6,3,3,9,6,3,-3,-3,0,2,0,2,6,4,2,4,3,1,1,0.57,1.6,2.08,2,2.2,0.83,0.71,1,1.25,1.29,1.2,1.25,1.29,1.2,0.5,0.43,0.6,0.75,0.86,0.6,11,8,4,2,0,0,7,4,2,1,0,0,4,4,2,1,0,0,1,4,8,10,12,12,0,3,5,6,7,7,1,1,3,4,5,5,92,67,33,17,0,0,100,57,29,14,0,0,80,80,40,20,0,0,8,33,67,83,100,100,0,43,71,86,100,100,20,20,60,80,100,100,8,4,2,5,2,1,3,2,1,67,33,17,71,29,14,60,40,20,8,0,20,-9,17,0,40,42,57,20,50,43,60,25,14,40,5,2,3,42,29,60,8,5,3,67,71,60,3,2,1,25,29,20,17,0,40,50,57,40,33,43,20,3.17,3.57,2.60,2.75,2.86,2.60,67,50,42,33,25,17,8,8,0.88,1.00,0.73,1.39,1.37,1.41,42,1,1,1,1,2,0,1,2,1,0,1,2,3,3,0,2,1,3,42,43,40,50,57,40,8
