#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
264,L. Coulibaly,Cen,LEC,41.6,9.8,-1.2,8,3,391,0,2,1,0,1,0,119,4,5,5,0,0,7,7,0,0
265,M. Perin,Por,JUV,41.5,6.5,-0.5,2,2,180,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,5
266,I. Toure,Dif,UDI,41.4,10.9,-0.1,4,3,285,0,0,0,0,0,0,150,1,5,3,0,0,7,3,1,0
267,P. Terracciano,Por,FIO,41.1,12.0,-1.0,3,3,270,0,0,0,0,0,0,56,0,0,0,0,0,0,0,1,11
268,J. Fazzini,Cen,EMP,40.8,8.3,-0.7,5,5,383,0,5,1,0,7,0,59,2,6,7,1,0,5,8,1,0
269,J. Ekkelenkamp,Cen,UDI,40.3,8.5,-1.0,8,2,308,0,4,1,0,1,0,104,0,3,3,0,0,7,6,1,0
270,M. Bani,Dif,GEN,39.8,10.4,-1.1,5,5,360,0,3,1,0,1,0,132,0,2,2,1,0,9,2,0,0
271,Dailon Livramento,Att,VER,39.8,8.0,-1.0,6,3,266,1,5,1,0,0,0,16,2,4,2,1,0,7,6,1,0
272,B. Sosa,Dif,TOR,39.6,11.3,-1.2,5,3,254,0,1,1,0,0,0,108,1,0,0,0,0,7,4,1,0
273,T. Weah,Cen,JUV,39.5,7.4,-0.6,4,1,149,1,2,1,0,2,0,64,4,1,0,0,0,2,4,0,0
274,R. Malinovskyi,Cen,GEN,38.9,9.9,-1.1,5,2,224,0,6,2,0,1,0,104,3,7,2,1,0,7,8,0,0
275,S. Pizzignacco,Por,MON,37.9,10.5,-1.0,3,3,270,0,0,0,0,0,0,71,0,0,1,0,0,0,0,1,6
276,A. Deiola,Cen,CAG,37.7,6.6,-0.4,7,5,406,0,5,0,0,1,0,80,2,7,3,2,0,7,10,1,0
277,J. Ekhator,Att,GEN,37.7,6.0,0.0,6,0,99,1,2,1,0,0,1,20,2,3,3,0,0,0,0,0,0
278,F. Ravaglia,Por,BOL,37.6,9.3,-0.7,3,3,270,0,0,0,0,0,0,80,1,0,2,0,0,0,0,1,6
279,K. Davis,Att,UDI,37.3,9.6,-1.4,8,1,238,0,6,0,0,5,1,58,7,7,6,1,0,4,4,0,0
280,R. Mandragora,Cen,FIO,36.8,8.6,-0.9,5,4,270,0,6,3,0,0,0,124,5,6,6,3,0,5,1,0,0
281,Junior Messias,Cen,GEN,36.8,9.2,-0.8,3,3,266,1,8,4,0,3,0,38,4,1,5,0,0,4,4,1,0
282,K. Urbanski,Att,BOL,36.7,7.7,-0.8,4,1,159,1,3,1,0,2,0,76,7,3,3,1,0,3,5,0,0
283,Tete Morente,Att,LEC,36.7,6.9,-0.6,8,4,365,0,3,0,0,2,0,94,5,3,2,1,0,4,4,1,0
284,J. Lucumi,Dif,BOL,36.3,12.0,-1.5,5,3,304,0,1,0,0,0,0,270,0,5,0,2,1,6,5,0,0
285,G. Simeone,Att,NAP,35.9,8.2,-1.3,7,1,164,1,5,1,0,0,0,30,4,4,7,0,0,1,0,0,0
286,A. Makoumbou,Cen,CAG,35.2,8.6,-0.9,5,4,293,0,2,0,0,0,0,121,0,4,4,0,0,5,3,0,0
287,E. Audero,Por,COM,34.9,9.1,-0.9,5,5,450,0,0,0,0,0,0,124,0,0,1,0,0,0,0,0,11
288,Dani Silva,Cen,VER,34.8,5.5,-0.5,5,3,240,0,1,0,0,0,0,106,1,0,3,0,0,5,4,0,0
289,L. Beltran,Att,FIO,34.2,11.2,-1.3,4,1,169,1,6,2,0,0,0,74,2,1,3,0,0,1,1,1,0
290,S. Iling-Junior,Cen,BOL,34.1,11.8,-0.7,3,0,91,1,4,1,0,3,0,52,1,1,0,0,0,3,2,0,0
291,T. Suslov,Cen,VER,33.9,11.5,-1.5,5,4,309,0,3,0,0,5,0,52,5,10,6,1,1,8,10,1,0
292,L. da Cunha,Att,COM,33.9,9.3,-1.2,6,3,214,0,5,1,0,0,0,90,3,1,4,0,0,2,6,0,0
293,H. Rafia,Cen,LEC,33.2,7.4,-0.6,6,2,226,0,5,1,0,1,0,105,5,9,5,2,0,6,8,0,0
294,L. Banda,Att,LEC,32.6,10.0,-1.5,6,2,285,0,7,2,0,5,0,66,7,6,8,1,0,3,3,1,0
295,Oier Zarraga,Cen,UDI,32.0,5.5,-0.5,5,3,271,0,3,0,0,1,0,84,2,1,3,0,0,2,3,1,0
296,A. Richardson,Cen,FIO,32.0,9.1,-0.9,4,1,162,0,1,1,0,5,0,112,1,3,2,2,0,3,7,1,0
297,J. Palomino,Dif,CAG,31.4,8.9,-1.1,4,0,112,1,1,1,0,0,0,54,0,1,1,0,0,2,1,0,0
298,M. Vecino,Cen,LAZ,31.3,8.8,-1.2,5,1,169,0,4,1,0,0,1,72,2,4,0,1,0,3,2,0,0
299,A. Rebic,Att,LEC,31.1,11.0,-1.5,6,5,308,0,4,1,0,2,0,58,11,9,4,1,0,4,5,1,0
300,A. Tameze,Cen,TOR,31.0,8.7,-1.3,6,3,239,0,0,0,0,1,0,86,3,2,1,1,0,5,2,0,0
301,A. Circati,Dif,PAR,30.6,8.0,-1.0,4,4,360,0,0,0,0,0,0,149,0,3,2,1,0,5,4,0,0
302,Danilo,Dif,JUV,29.8,14.2,-1.8,4,1,132,0,0,0,0,0,0,131,2,4,0,0,0,2,1,1,0
303,O. Solbakken,Att,EMP,29.8,4.3,-0.2,7,3,296,0,2,2,0,3,0,46,3,5,0,1,0,3,2,0,0
304,M. Payero,Cen,UDI,29.8,9.6,-1.4,5,3,232,0,4,0,0,7,0,60,2,10,4,1,0,4,4,0,0
305,M. Taremi,Att,INT,29.7,12.8,-2.2,6,1,187,0,4,2,0,1,1,45,2,2,1,0,0,1,2,1,0
306,A. Saelemaekers,Cen,ROM,29.4,11.7,-1.3,3,3,202,0,1,1,0,2,0,90,3,1,3,1,0,4,5,1,0
307,S. de Vrij,Dif,INT,28.8,12.8,-1.7,4,1,176,0,0,0,0,0,0,132,0,0,0,0,0,3,2,1,0
308,N. Zalewski,Cen,ROM,28.8,7.2,-0.8,5,2,284,0,2,0,0,0,0,90,9,1,9,0,0,5,5,1,0
309,Pedro,Att,LAZ,28.7,5.8,-0.7,4,0,65,1,2,1,0,1,0,27,1,3,3,1,0,1,2,0,0
310,S. Pierotti,Att,LEC,28.2,5.8,-0.7,7,0,150,0,6,1,0,3,0,29,4,8,1,0,0,5,5,0,0
311,E. Shomurodov,Att,ROM,27.4,6.5,-1.0,4,0,34,1,3,3,0,1,0,12,1,2,0,1,0,0,0,0,0
312,R. Haps,Dif,VEN,26.6,5.8,-0.7,5,3,293,0,9,1,0,0,0,54,1,0,3,1,0,5,7,1,0
313,B. Gilmour,Cen,NAP,26.5,12.1,-1.4,5,1,111,0,1,0,0,1,0,71,1,4,1,0,0,3,5,1,0
314,F. Dele-Bashiru,Cen,LAZ,26.1,8.4,-1.1,3,2,159,0,2,0,0,4,0,63,1,2,0,0,0,3,4,0,0
315,G. Gaetano,Cen,CAG,25.7,9.5,-1.5,5,1,164,0,8,0,0,3,1,35,5,4,3,0,0,4,4,0,0
316,Y. Maleh,Cen,EMP,25.6,8.0,-1.1,4,3,267,0,3,1,0,0,0,58,1,5,3,1,0,6,4,2,0
317,K. Asllani,Cen,INT,25.4,9.5,-1.5,5,1,142,0,3,1,0,0,0,144,3,2,3,2,0,0,4,0,0
318,L. Caldirola,Dif,MON,25.2,9.7,-1.3,3,2,191,0,1,0,0,0,0,140,0,6,2,1,0,0,0,1,0
319,E. Ekong,Att,EMP,25.2,4.1,0.1,6,0,73,0,2,0,0,6,0,13,1,0,2,0,0,3,3,0,0
320,G. Gineitis,Cen,TOR,25.1,7.4,-1.1,4,1,116,0,4,1,0,0,1,34,3,1,0,0,0,2,4,0,0
321,Carlos Augusto,Dif,INT,24.5,9.6,-1.9,6,1,185,0,1,0,0,0,0,101,0,4,1,0,0,3,3,0,0
322,M. Thiaw,Dif,MIL,24.5,12.2,-1.3,2,2,180,0,1,1,0,0,0,96,0,1,0,0,0,3,2,1,0
323,P. Reina,Por,COM,24.3,7.0,-1.0,3,3,270,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,9
324,R. Oudin,Cen,LEC,24.2,7.4,-1.1,5,2,139,0,2,1,0,2,0,32,3,1,0,0,0,1,2,0,0
325,N. Gonzalez,Att,JUV,24.1,14.4,-2.1,4,3,226,0,2,0,0,2,0,57,3,2,6,0,0,1,3,3,0
326,G. Castrovilli,Cen,LAZ,23.7,11.2,-1.8,5,1,115,0,2,0,0,1,0,44,2,3,1,0,0,4,4,0,0
327,P. Zielinski,Cen,INT,23.7,12.6,-1.9,4,0,68,0,3,1,0,1,0,74,3,2,2,0,0,3,3,0,0
328,J. Yeboah,Cen,VEN,23.2,7.5,-0.5,4,0,91,0,2,1,0,3,1,24,1,1,2,1,0,2,2,0,0
329,F. Miretti,Cen,GEN,23.1,8.5,-1.0,3,3,201,0,2,0,0,2,0,36,1,2,3,0,0,5,5,0,0
330,W. McKennie,Cen,JUV,23.0,9.2,-1.3,4,2,193,0,1,0,0,1,0,85,0,3,2,1,0,2,3,2,0
331,C. Gytkjaer,Att,VEN,23.0,6.4,-1.1,7,2,179,0,3,0,0,1,0,22,1,3,0,0,0,2,1,0,0
332,Patric,Dif,LAZ,22.7,11.4,-1.6,4,2,288,0,0,0,0,0,0,155,0,2,1,2,0,5,5,0,0
333,Y. Bisseck,Dif,INT,22.7,9.1,-1.4,4,3,244,0,3,0,0,0,0,196,0,3,3,1,0,4,2,0,0
334,M. Lambourde,Att,VER,22.7,6.9,-0.6,2,0,5,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0
335,S. Birindelli,Dif,MON,22.6,6.9,-1.1,2,2,175,0,1,1,0,0,0,51,1,3,1,0,0,3,4,1,0
336,G. Raspadori,Att,NAP,22.5,7.4,-1.1,4,2,194,0,7,1,0,3,0,49,3,3,4,1,0,2,2,1,0
337,D. Calabria,Dif,MIL,22.3,10.7,-1.3,2,2,150,0,1,1,0,0,0,97,1,3,2,0,0,5,3,0,0
338,I. Doumbia,Cen,VEN,22.3,4.0,-0.5,6,1,141,0,3,1,0,0,0,43,1,1,1,0,0,2,3,0,0
339,E. Holm,Dif,BOL,21.9,9.6,-1.4,3,1,97,0,0,0,0,1,0,47,2,1,1,0,0,4,4,1,0
340,J. Ikone,Att,FIO,21.9,7.6,-1.4,5,0,107,0,3,2,0,3,0,25,1,1,1,0,0,1,2,0,0
341,E. Le Fee,Cen,ROM,21.8,12.9,-1.6,3,1,100,0,3,1,0,2,0,68,3,2,2,0,0,3,2,1,0
342,T. Dallinga,Att,BOL,21.8,12.2,-2.3,5,1,130,0,3,1,0,1,0,29,2,4,2,0,0,2,3,0,0
343,F. Daniliuc,Dif,VER,21.7,9.6,-0.9,4,2,251,0,1,0,0,1,0,79,0,1,0,0,0,5,3,0,0
344,Y. Osorio,Dif,PAR,21.6,7.0,-1.0,3,2,172,0,1,0,0,0,0,103,1,5,2,0,0,6,5,0,0
345,G. Altare,Dif,VEN,21.4,7.3,-1.2,3,2,193,0,3,1,0,0,0,64,0,5,1,1,0,8,6,1,0
346,L. Tchaouna,Att,LAZ,20.9,10.5,-2.0,6,1,141,0,4,2,0,2,0,31,2,1,0,0,0,2,3,0,0
347,O. Kossounou,Dif,ATA,20.9,13.0,-1.0,2,2,153,0,2,1,0,0,0,88,0,4,2,1,0,5,3,0,0
348,F. Terracciano,Dif,MIL,20.7,5.6,-0.9,2,2,180,0,1,0,0,0,0,63,0,3,3,2,0,4,4,1,0
349,M. Berisha,Cen,LEC,20.7,4.6,-0.9,3,1,82,0,5,3,0,0,0,39,3,2,2,0,0,1,2,1,0
350,L. Paredes,Cen,ROM,20.6,12.4,-1.6,3,1,103,0,3,0,0,0,1,74,2,1,0,0,0,3,1,0,0
351,D. Ghilardi,Dif,VER,20.6,7.5,-1.0,2,2,179,0,3,2,0,0,0,91,1,3,2,1,0,4,3,0,0
352,N. Zaniolo,Att,ATA,20.2,13.0,-2.0,4,0,75,0,5,0,0,2,1,22,4,2,3,1,0,0,0,0,0
353,N. Haas,Cen,EMP,20.2,4.0,0.0,7,0,105,0,0,0,0,0,0,25,0,7,2,1,0,3,4,0,0
354,A. Harroui,Cen,VER,20.1,10.7,-1.8,4,2,170,0,5,1,0,3,0,42,0,3,1,1,0,1,2,1,0
355,A. Haj Mohamed,Att,PAR,20.0,4.0,0.0,2,0,35,0,2,1,0,0,2,19,2,0,2,1,0,1,0,0,0
356,G. Maripan,Dif,TOR,19.8,13.6,-1.4,3,2,122,0,0,0,0,0,0,141,0,1,0,0,1,1,2,0,0
357,C. Ekuban,Att,GEN,19.6,7.3,-1.2,4,2,210,0,6,1,0,2,0,20,2,3,5,0,0,1,1,0,0
358,M. Prati,Cen,CAG,19.4,7.7,-1.3,3,3,177,0,0,0,0,0,0,63,2,4,2,1,0,4,4,1,0
359,A. Obert,Dif,CAG,19.3,6.0,-1.0,3,2,163,0,1,0,0,1,0,37,0,5,1,1,0,7,2,0,0
360,A. Iovine,Cen,COM,19.3,5.5,-1.0,3,3,225,0,0,0,0,0,0,64,1,2,2,1,0,3,1,0,0
361,E. Bohinen,Cen,GEN,19.1,6.0,-1.0,3,1,165,0,2,0,0,0,0,69,3,3,3,0,0,5,4,0,0
362,Hermoso,Dif,ROM,19.0,12.4,-1.6,5,0,82,0,0,0,0,2,0,36,0,2,0,0,0,2,1,0,0
363,R. Sottil,Att,FIO,18.6,10.6,-1.9,5,0,91,0,5,1,0,0,0,33,2,0,4,0,0,1,0,0,0
364,E. Goldaniga,Dif,COM,18.6,7.3,-1.2,5,1,133,0,0,0,0,0,0,79,0,0,2,1,0,3,2,0,0
365,J. Rouhi,Dif,JUV,18.6,4.5,-1.0,2,1,87,0,0,0,0,2,0,53,0,1,0,0,0,1,0,1,0
366,D. Bradaric,Dif,VER,18.4,7.9,-0.6,3,2,170,0,1,1,0,2,0,69,5,3,1,1,0,1,2,0,0
367,M. Thorsby,Cen,GEN,17.8,5.9,-1.1,7,3,287,0,2,0,0,0,0,37,7,13,4,1,0,3,4,0,0
368,J. Cuadrado,Dif,ATA,17.7,13.6,-1.4,3,0,107,0,4,1,0,3,0,55,3,0,5,0,0,0,1,0,0
369,M. Braunoder,Cen,COM,17.4,6.3,-1.2,3,2,137,0,0,0,0,1,0,46,0,4,1,1,0,2,5,0,0
370,Iker Bravo,Att,UDI,17.4,6.4,-1.1,5,1,111,0,1,1,0,1,0,27,2,2,1,1,0,2,2,0,0
371,A. Zanoli,Dif,GEN,16.9,7.4,-1.6,6,3,330,0,0,0,0,1,0,59,1,7,2,0,0,1,2,0,0
372,G. Charpentier,Att,PAR,16.7,4.6,-0.9,4,0,74,0,1,1,0,1,0,11,0,6,3,0,0,1,1,0,0
373,F. Barba,Dif,COM,16.7,6.4,-1.1,2,2,180,0,0,0,0,0,0,101,0,2,1,0,0,3,0,0,0
374,N. Estevez,Cen,PAR,16.7,7.8,-1.2,2,2,164,0,2,1,0,0,0,44,1,2,0,1,0,3,3,0,0
375,M. Wieteska,Dif,CAG,16.6,5.4,-1.1,1,1,90,0,1,0,0,0,0,38,0,0,0,0,0,6,1,1,0
376,Y. Karamoh,Att,TOR,16.4,4.5,-1.0,5,0,48,0,2,1,0,0,0,17,3,0,0,0,0,0,1,0,0
377,M. Sala,Dif,COM,16.4,5.4,-1.1,4,1,119,0,0,0,0,0,0,48,1,2,1,1,0,5,7,0,0
378,S. Vignato,Cen,MON,16.1,6.8,-1.2,4,1,106,0,1,0,0,1,0,22,0,1,1,0,0,2,4,1,0
379,A. Sarr,Att,VER,15.3,9.2,-1.3,4,1,67,0,0,0,0,1,0,19,1,2,0,0,0,1,2,0,0
380,T. Kristensen,Dif,UDI,14.8,8.6,-1.4,3,2,187,0,0,0,0,0,0,88,0,2,0,1,0,1,2,0,0
381,M. Pedersen,Dif,TOR,14.2,9.1,-1.4,4,2,208,0,0,0,0,2,0,30,2,1,0,1,0,2,4,0,0
382,I. Bennacer,Cen,MIL,14.1,11.2,-1.3,1,1,59,0,0,0,0,3,0,41,1,1,0,0,0,1,1,0,0
383,F. Melegoni,Cen,GEN,14.1,4.1,-0.4,2,1,68,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0
384,A. Raimondo,Att,VEN,14.0,4.5,-1.0,6,0,73,0,1,1,0,0,0,13,1,1,1,0,0,1,2,0,0
385,G. Lapadula,Att,CAG,13.5,6.2,-1.3,5,0,114,0,6,1,0,0,0,14,1,5,0,1,0,0,2,0,0
386,A. Petagna,Att,MON,13.2,7.2,-1.3,3,2,179,0,4,0,0,3,0,26,0,4,4,1,0,1,0,1,0
387,D. D'Ambrosio,Dif,MON,13.1,6.3,-1.2,5,0,57,0,1,1,0,0,0,12,0,2,0,1,0,1,3,0,0
388,R. Gagliardini,Cen,MON,12.9,9.6,-1.9,4,0,92,0,0,0,0,0,0,49,1,4,4,1,0,1,1,0,0
389,L. Cacace,Dif,EMP,12.9,6.6,-1.4,5,0,100,0,3,0,0,2,0,25,4,3,0,1,0,1,1,0,0
390,M. Palestra,Dif,ATA,12.9,5.5,-1.0,4,0,43,0,0,0,0,0,0,22,2,1,3,0,0,1,2,0,0
391,L. Pavoletti,Att,CAG,12.3,5.7,-1.3,5,0,94,0,5,1,0,0,0,21,6,3,0,1,0,0,0,0,0
392,T. Pobega,Cen,BOL,12.3,7.2,-1.3,1,1,90,0,2,0,0,0,0,29,0,3,2,1,0,3,5,0,0
393,J. Karlsson,Att,BOL,12.3,6.6,-1.4,4,1,120,0,1,0,0,0,0,29,1,0,2,0,0,0,0,0,0
394,M. Kayode,Dif,FIO,11.6,10.9,-1.6,2,0,18,0,1,0,0,3,0,5,0,0,1,0,0,1,1,0,0
395,C. Ngonge,Att,NAP,11.1,8.6,-1.4,1,0,11,0,2,2,0,2,0,6,0,0,2,0,0,1,1,0,0
396,L. Jovic,Att,MIL,11.0,7.9,-1.6,3,1,78,0,1,0,0,1,0,15,1,1,1,1,0,1,0,0,0
397,A. Gabrielloni,Att,COM,11.0,4.9,-1.1,5,0,60,0,2,0,0,0,0,13,2,2,2,0,0,0,0,0,0
398,N. Leali,Por,GEN,10.7,4.2,0.2,1,1,90,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,5
399,A. Njie,Att,TOR,10.7,4.0,-0.5,3,0,31,0,1,1,0,2,0,6,0,0,1,0,0,0,2,0,0
400,Y. Engelhardt,Cen,COM,10.7,8.4,-1.6,3,0,76,0,0,0,0,1,0,39,0,1,0,1,0,1,1,0,0
401,S. Serdar,Cen,VER,10.6,9.0,-1.5,2,1,50,0,1,0,0,1,0,22,0,1,2,0,0,2,1,0,0
402,A. Barak,Cen,FIO,10.5,7.2,-1.3,1,1,55,0,2,2,0,0,0,17,3,0,0,0,0,0,2,0,0
403,D. Crnigoj,Cen,VEN,10.4,5.7,-1.3,3,0,34,0,0,0,0,0,0,7,0,1,2,0,0,2,3,0,0
404,D. Baselli,Cen,COM,10.2,4.0,-1.0,2,1,23,0,0,0,0,0,0,24,0,0,1,0,0,1,0,0,0
405,F. Stankovic,Por,VEN,10.1,4.7,-1.3,1,1,90,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5
406,M. Pongracic,Dif,FIO,10.1,12.3,-1.7,2,1,92,0,0,0,0,1,0,44,1,4,0,0,1,3,1,0,0
407,F. Cassa,Cen,ATA,10.1,4.8,-1.2,2,0,12,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0
408,I. Sulemana,Cen,ATA,9.8,6.6,-1.4,3,0,28,0,0,0,0,0,0,18,0,1,0,0,0,1,2,0,0
409,L. De Silvestri,Dif,BOL,9.6,6.1,-1.4,2,1,86,0,0,0,0,0,0,44,1,2,1,0,0,1,2,0,0
410,A. Atta,Cen,UDI,9.1,6.3,-0.7,2,0,29,0,0,0,0,1,0,15,1,0,0,0,0,2,2,0,0
411,A. Dembele,Dif,TOR,9.0,4.0,-0.5,5,0,53,0,0,0,0,1,0,20,0,1,0,2,0,1,2,0,0
412,D. Camara,Cen,PAR,8.8,4.3,-1.2,4,0,40,0,2,0,0,0,0,11,0,2,2,0,0,0,0,0,0
413,D. Ankeye,Att,GEN,8.7,4.0,-0.5,3,0,33,0,0,0,0,1,0,6,0,2,1,0,0,0,0,0,0
414,L. Chichizola,Por,PAR,8.5,4.7,-1.3,1,1,90,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4
415,J. Jesus,Dif,NAP,8.4,7.1,-1.4,1,1,79,0,1,0,0,0,0,60,0,1,0,0,0,0,0,0,0
416,R. Sagrado,Dif,VEN,8.3,7.1,-1.4,2,2,117,0,1,0,0,0,0,15,0,2,1,1,0,3,2,0,0
417,F. Alidou,Att,VER,8.2,7.4,-1.1,2,0,57,0,1,0,0,2,0,14,1,0,0,0,0,0,0,0,0
418,L. Pellegrini,Dif,LAZ,8.1,6.1,-1.4,3,0,38,0,0,0,0,1,0,11,1,2,0,0,0,2,2,0,0
419,J. Correa,Att,INT,8.0,6.1,-1.4,3,0,38,0,1,1,0,0,0,10,0,1,1,1,0,0,1,0,0
420,B. Dominguez,Att,BOL,7.9,7.5,-1.0,1,1,63,0,2,2,0,0,0,8,0,2,4,0,0,0,1,0,0
421,A. Paleari,Por,TOR,7.7,4.7,-1.3,1,1,90,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,4
422,A. Matturro,Dif,GEN,7.6,4.1,-0.4,2,1,111,0,0,0,0,0,0,20,1,0,1,0,0,2,1,0,0
423,V. Adzic,Cen,JUV,7.6,5.2,-1.3,1,0,18,0,1,1,0,0,0,9,0,0,0,0,0,2,2,0,0
424,P. Pellegri,Att,EMP,7.5,5.6,-1.4,4,0,65,0,1,0,0,1,0,11,2,1,2,1,0,0,1,0,0
425,E. Hysaj,Dif,LAZ,7.3,5.6,-1.4,2,0,9,0,0,0,0,0,0,13,0,0,0,0,0,1,1,0,0
426,M. Felici,Cen,CAG,6.6,5.1,-1.4,1,0,22,0,1,0,0,2,0,5,0,1,0,0,0,1,0,0,0
427,M. Arnautovic,Att,INT,6.3,7.8,-1.7,3,0,37,0,2,0,0,0,0,10,0,0,0,0,0,2,2,0,0
428,J. Schingtienne,Dif,VEN,6.2,8.9,-1.1,1,1,90,0,0,0,0,0,0,28,0,1,0,1,0,4,4,0,0
429,M. De Sciglio,Dif,EMP,5.9,5.1,-1.4,2,0,8,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0
430,R. Toloi,Dif,ATA,5.5,6.1,-1.4,1,0,32,0,1,0,0,0,0,14,0,0,1,0,0,1,1,0,0
431,M. Maric,Att,MON,5.5,4.0,0.0,2,0,13,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
432,G. Jean,Dif,LEC,5.4,7.3,-1.2,2,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
433,O. Forson,Att,MON,5.1,6.1,-1.4,1,0,19,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0
434,M. Keita,Cen,PAR,5.1,11.8,-1.7,3,0,38,0,0,0,0,1,0,21,2,2,0,0,1,0,0,0,0
435,W. Cyprien,Cen,PAR,5.0,5.5,-1.5,2,0,26,0,1,0,0,0,0,14,0,0,0,0,0,2,0,0,0
436,A. Marcandalli,Dif,GEN,4.7,4.6,-1.4,1,1,45,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0
437,K. Zeroli,Cen,MIL,4.6,4.0,-1.0,1,0,11,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0
438,K. Mutandwa,Att,CAG,4.5,4.0,-1.0,2,0,45,0,3,0,0,0,0,9,0,2,0,0,0,0,0,0,0
439,B. Norton-Cuffy,Dif,GEN,4.4,6.1,-1.4,2,0,54,0,1,0,0,0,0,10,1,1,0,0,0,1,0,0,0
440,A. Manzoni,Cen,ATA,4.0,4.0,-0.5,1,0,5,0,1,0,0,0,0,11,0,1,1,0,0,0,0,0,0
441,L. Anghele,Att,JUV,3.9,4.8,-1.2,1,0,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
442,H. Ahanor,Dif,GEN,3.7,6.1,-0.4,1,1,69,0,0,0,0,0,0,6,0,0,3,0,0,0,1,0,0
443,N. Cambiaghi,Att,BOL,3.5,10.3,-1.7,1,0,14,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,0
444,S. Verdi,Att,COM,3.4,6.4,-1.6,2,0,49,0,0,0,0,1,0,8,1,1,1,1,0,0,0,0,0
445,M. Kowalski,Cen,PAR,3.4,7.5,-1.0,1,1,57,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0
446,S. El Haddad,Cen,VEN,3.2,4.0,0.0,2,0,25,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0
447,F. Marchwinski,Cen,LEC,3.1,8.8,-1.7,1,0,14,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
448,Ali Jasim,Att,COM,2.7,4.0,-1.0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
449,B. Godfrey,Dif,ATA,2.6,11.2,-1.8,1,0,22,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
450,J. Abankwah,Dif,UDI,2.6,4.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
451,M. Kaba,Cen,LEC,2.6,6.9,-1.6,1,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
452,A. Ciammaglichella,Cen,TOR,2.5,4.5,-1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Y. Okou,Dif,VER,2.3,5.5,-1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,F. Accornero,Cen,GEN,1.9,4.0,-0.5,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
455,M. Folorunsho,Cen,NAP,1.8,10.3,-1.7,1,0,17,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0
456,A. Cerri,Att,COM,1.2,4.0,-1.0,2,0,59,0,2,0,0,0,0,10,0,3,1,0,0,0,0,0,0
457,S. Sazonov,Dif,EMP,1.0,4.0,-1.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,A. Pelmard,Dif,LEC,0.6,5.9,-1.6,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
459,A. Donnarumma,Por,TOR,0.0,4.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,S. Zurkowski,Cen,EMP,0.0,11.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,F. Brancolini,Por,EMP,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,A. Florenzi,Dif,MIL,0.0,9.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,M. Sportiello,Por,MIL,0.0,6.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,F. Rossi,Por,ATA,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,N. Sansone,Att,LEC,0.0,4.9,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,A. Cragno,Por,MON,0.0,6.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
