#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
118,Z. Celik,Dif,ROM,78.5,7.0,0.5,8,7,609,0,4,1,0,1,0,225,7,6,1,0,0,14,17,3,0
119,L. Colombo,Att,EMP,77.6,12.0,-1.0,8,7,520,2,10,3,1,8,1,66,6,7,6,1,0,4,5,3,0
120,R. Piccoli,Att,CAG,77.5,10.9,-0.6,8,8,671,2,26,5,0,3,0,79,4,10,9,1,0,1,1,1,0
121,I. Ilic,Cen,TOR,76.1,12.3,-0.7,7,6,510,1,9,4,0,3,0,229,5,4,13,2,0,5,2,2,0
122,C. Biraghi,Dif,FIO,75.2,12.8,-0.7,6,5,418,1,4,2,0,0,0,239,5,3,7,1,0,8,4,1,0
123,J. Joronen,Por,VEN,74.6,8.1,0.1,7,7,630,0,0,0,0,0,0,159,0,1,0,0,0,0,0,2,25
124,W. Bondo,Cen,MON,74.4,9.3,-0.2,8,7,639,0,2,0,0,1,0,220,1,10,14,0,0,13,13,2,0
125,Z. Suzuki,Por,PAR,74.2,10.6,-0.4,7,7,615,0,0,0,0,0,0,161,0,2,0,0,1,0,1,1,22
126,S. Mbangula,Att,JUV,74.1,5.5,0.5,5,4,305,1,2,1,0,1,2,97,7,2,4,0,0,7,9,2,0
127,Y. Mina,Dif,CAG,73.6,11.1,-0.4,7,7,563,0,10,2,0,2,0,306,1,9,10,2,0,11,12,0,0
128,Y. Fofana,Cen,MIL,73.6,13.9,-0.9,7,6,525,1,3,1,0,2,0,278,1,3,5,2,0,6,6,3,0
129,K. Linetty,Cen,TOR,73.3,8.6,0.1,7,6,517,1,3,1,0,3,0,185,5,9,6,2,0,9,13,2,0
130,L. Pellegrini,Cen,ROM,72.8,13.7,-1.3,8,7,615,0,18,5,0,5,1,172,15,8,10,1,0,4,7,3,0
131,D. Frattesi,Cen,INT,72.4,13.5,-1.5,8,3,423,1,10,1,0,4,1,104,3,2,8,0,0,5,6,1,0
